1: 42,112,40,86,146,78,148,104,0.997
1: 152,101,151,84,199,80,200,98,0.993
1: 251,47,199,46,200,30,251,31,0.989
1: 105,48,27,46,28,20,105,22,0.988
1: 38,78,38,56,98,55,98,77,0.985
1: 158,47,110,46,110,27,158,27,0.984
1: 144,76,142,58,181,54,183,72,0.977
1: 163,47,163,29,197,29,197,47,0.975
1: 102,76,102,57,140,57,140,76,0.937
2: 662,99,662,83,714,82,715,98,0.994
2: 525,127,525,113,578,113,578,127,0.993
2: 415,114,415,79,514,79,514,114,0.986
2: 485,194,485,179,530,178,531,193,0.985
2: 476,128,476,114,523,114,523,128,0.983
2: 563,108,563,89,596,89,596,108,0.942
2: 597,108,597,90,628,90,628,108,0.931
2: 520,108,520,89,555,89,555,108,0.896
2: 493,199,493,194,525,193,525,198,0.738
2: 657,136,657,126,722,126,722,136,0.59
3: 841,197,825,111,997,79,1013,165,0.983
3: 410,205,410,189,465,189,465,205,0.899
4: 738,278,612,273,613,245,739,251,0.992
4: 698,278,698,257,741,257,741,278,0.634
5: 1032,253,1020,217,1105,190,1116,225,0.997
5: 752,222,752,203,788,203,788,222,0.997
5: 1044,329,1041,300,1125,290,1129,319,0.992
5: 1059,436,1059,405,1151,405,1151,436,0.991
5: 1050,383,1050,354,1139,354,1139,383,0.99
5: 740,279,739,266,779,262,780,275,0.984
5: 951,277,940,250,999,226,1010,254,0.983
5: 876,249,873,230,945,220,948,240,0.98
5: 108,314,106,256,387,245,389,303,0.976
5: 737,301,737,289,758,289,758,301,0.788
5: 759,300,758,289,789,286,790,297,0.711
5: 371,311,371,259,405,259,405,311,0.674
5: 1057,355,1056,328,1126,325,1127,351,0.654
5: 1046,302,1034,245,1107,230,1119,287,0.557
6: 82,491,57,440,159,388,185,438,0.996
6: 90,419,66,365,146,329,171,382,0.993
6: 59,190,59,113,149,113,149,190,0.979
6: 1148,224,1145,210,1177,204,1180,218,0.785
6: 430,223,430,214,473,214,474,223,0.647
7: 348,153,6,81,20,13,362,85,0.946
7: 793,208,696,154,723,104,820,159,0.93
7: 715,259,715,209,810,209,810,259,0.848
7: 705,157,705,2,810,2,810,157,0.772
8: 941,397,889,375,898,353,950,375,0.995
8: 316,607,305,567,426,534,436,575,0.988
8: 1043,469,999,450,1006,432,1051,451,0.982
8: 981,414,943,398,952,374,991,390,0.977
8: 432,576,429,563,470,555,472,568,0.976
8: 997,450,943,426,951,407,1005,431,0.963
8: 942,422,901,409,909,386,949,399,0.955
8: 355,209,355,194,374,194,374,209,0.871
8: 380,208,380,194,398,194,398,208,0.666
9: 521,161,520,141,597,138,598,158,0.996
9: 537,178,537,161,593,161,593,178,0.995
9: 521,140,520,123,563,120,564,138,0.995
9: 261,100,256,50,475,29,480,79,0.994
9: 615,129,614,106,694,103,695,126,0.989
9: 457,82,454,22,708,7,712,67,0.974
9: 610,176,609,160,644,157,646,173,0.967
9: 609,156,609,119,701,119,701,156,0.964
9: 19,312,19,283,72,283,72,312,0.836
10: 251,216,248,187,343,179,345,208,0.998
10: 506,294,500,251,634,232,640,275,0.997
10: 443,192,440,169,510,159,514,182,0.996
10: 582,172,580,150,647,145,649,167,0.996
10: 374,198,372,174,435,170,437,193,0.996
10: 189,218,188,197,243,195,244,216,0.995
10: 286,328,278,284,490,250,498,294,0.994
10: 323,448,320,424,401,413,404,437,0.994
10: 230,461,227,437,316,426,319,450,0.993
10: 352,261,352,220,434,220,434,261,0.991
10: 443,255,440,221,517,215,519,249,0.99
10: 652,163,650,142,694,138,696,159,0.987
10: 544,176,544,155,575,155,575,176,0.643
10: 521,182,516,163,539,158,543,176,0.641
11: 610,286,446,268,453,207,617,225,0.985
11: 338,384,337,358,387,355,388,381,0.965
11: 130,449,127,417,235,409,238,441,0.891
11: 141,377,141,350,225,350,225,377,0.89
11: 368,382,367,359,440,357,440,380,0.548
